relative_path,asset_class,include_status,size_bytes,sha256
.gitignore,other,supporting_documentation,99,83852bccd861565e99ea97ca767034ac7f27838b6d7fc2a8fd06f4932f9afa09
README.md,documentation,supporting_documentation,2387,c624579e04950a964a74dc2ceb369c4635fa8167f57282e03def590503dd12d1
data/derived_figure_sources/modernized/Transportmetrica-Figure2ZouLevinson.docx,data_candidate,candidate_include_after_manifest_and_license_review,174316,0783b649a31831e1744e9e7ea831b912d83836544ff7e79d203a7f27838f4dff
data/derived_figure_sources/modernized/Transportmetrica-Figure2ZouLevinson.pdf,data_candidate,candidate_include_after_manifest_and_license_review,301145,8c34a6ad13723ee37edbe6851f5e681852e35e5448f0208ca5a52df496a5b6b9
data/derived_figure_sources/original/Transportmetrica-Figure2ZouLevinson.doc,data_candidate,candidate_include_after_manifest_and_license_review,378368,05506d3bb406474a2bfcb0b94d0be25be32cdf022525a2c9f92923b8e3bb3e71
data/derived_figure_sources/text_extracts/Transportmetrica-Figure2ZouLevinson.txt,documentation,supporting_documentation,132,9d33e084fbf99d1736ea4ce337444ed0738eb49fffff61ef204830ceae747d24
documentation/SOURCE_BOUNDARY.md,documentation,supporting_documentation,592,0c9e0ecfe1b09b7fafafcf6f929b079eb988634f57a64127e78b3d7fb77d8a7b
metadata/DERIVED_ARTIFACT_MANIFEST.csv,documentation,supporting_documentation,1269,19a84c5472ec578d90f3e2d07858d83f79420d66214eaa1960e77792a468cc0f
metadata/EXCLUDED_LOCAL_FILES.csv,documentation,supporting_documentation,1693,5f6e33d14ef8fe94426a3c10aae3c965e18c986a1dc11f514e971dfdfa3ee2d6
paper/MultiAgentCongestionModel.pdf,paper_reference,reference_only_do_not_public_upload_without_rights,260342,cca5b1b046f0159a332575ffe349875818479b57b847f161388ca8c8fa9614a1
paper/README.md,paper_reference,reference_only_do_not_public_upload_without_rights,740,20288e6a731eb18516290f40a4fda142dc8d51af553da0586d49fa8efad2757e
